Sl.,Course,Course Title,No. of,Pricing,,Sl.,Course,Course Title,No. of,Pricing,
No.,Code,,Blocks,in Rs.,,No.,Code,,Blocks,in Rs.,
,,,,English,Hindi,,,,,English,Hindi
,,,,English,Hindi,,,,,English,Hindi
63. MPA-007,"Rehabilitation, Reconstruction",,1,375.00,500.00,,83. MPS-001,Political Theory,2,,
,and Recovery,,,,,,,jktuhfrd fl}kr,,,
,iquokl] iqufuek.k vkSj,,,,,,,,,,
,iqu:RFkku,,,,,,84. EPS-03,Modern Indian Political,,,
,,,,,,,,Thought,8,800.00,850.00
64. MPA-011,"State, Society and",,1,500.00,600.00,,,vk/kfud Hkkjrh; jktuhfrd,,,
,PublicAdministration,,,,,,,fopkj/kkjk,,,
,jkT;] lekt vkSj ykd,,,,,,,,,,
,iz’kklu,,,,,,85. EPS-06,Government & Politics in,8,850.00 900.00‘,
,,,,,,,,East and South EastAsia,,,
65. MPA-012,Administrative Theory,,1,375.00,425.00,,,"iwohZ ,f’k;k rFkk nf{k.kiwoZ",,,
,iz’kklfud fl ̃kUr,,,,,,,",f’k;k ea ljdkj",,,
,,,,,,,,",oa jktuhfr",,,
66. MPA-013,Public System Management,,1,550.00,600.00,,,,,,
,LkkoZtfud iz.kkyh izoa/ku,,,,,,86. EPS-07,International Relations,7,725.00,775.00
,,,,,,,,"varjk""Vah; lca/kka dk ck/k",,,
67. MPA-014,Human Resource,,,,,,,,,,
,Management,,1,625.00,650.00,,87. EPS-08,Government & Politics in,,,
,ekuo lk/ku izca/ku,,,,,,,Australia,8,850.00 1000.00,
,,,,,,,,vkLVafy;k ea ljdkj,,,
68. MPA-015,Public Policy andAnalysis,,1,625.00,625.00,,,vkSj jktuhfr,,,
69. MPA-016,Decentralisation and Local,,1,625.00,675.00,,88. EPS-09,Comparative Government,8,900.00,950.00
,Governance,,,,,,,and Politics,,,
,fodUnhdj.k vkSj,,,,,,,ryukRed ljdkj,,,
,LFkkuh; 'kklu,,,,,,,vkSj jktuhfr,,,
70. MPA-017,Electronic Governance,,1,400.00,500.00,,89. EPS-11,Political Ideas and Ideologies,8,900.00 1000.00,
71. MPA-018,Disaster Management,,1,625.00,725.00,,,jktuhfrd fopkj vkSj,,,
,vkink izca/ku,,,,,,,"fopkj/kkjk,W",,,
72. MLII-101,"Information Sources,",,,,,,90. EPS-12,Government & Politics in India,7,875.00,950.00
,Part I Systems and,,,,,,,jktuhfrd foKku ea,,,
,Services & II,,1,850.00,,,,oSdfYid ikB~;de,,,
73. MLII-102,Information Processing,,,,,,91. EPS-15,"SouthAsia : Economy,",10,875.00,950.00
,and Part I Retrieval II,,1,875.00,,,,Society and Politics,,,
,,,,,,,,"nf{k.k ,f’k;k% vFkO;oLFkk",,,
74. MLII-103,Fundamentals of Information,,,600.00,,,,ekt vkSj jktuhfr,,,
,Communication Technologies,,1,,,,,,,,
,,,,,,,92. MHI-01,Ancient and Medieval,9,1475.00 1550.00,
75. MLII-104,Information Communication-I,,1,1150.00,,,,Societies,,,
,Technologies:Applications & II,,,,,,,izkphu vkSj e?;;xhu lekt,,,
76. MLI-001,Introduction to Computers,,1,850.00,,,93. MHI-02,Modern World,9,1225.00 1350.00,
77. MLI-002,LibraryAutomation,,1,475.00,,,,vk/kfud fo’o,,,
78. MLI-003,Information Systems,,1,375.00,,,94. MHI-03,Historiography,7,900.00,975.00
79. MLI-004,Networking and Internet,,1,425.00,,,,bfrgkl y[ku,,,
,Technology,,,,,,95. MHI-04,Political Structures in India,7,1075.00 1075.00,
80. MLI-005,Internet Resources,,1,400.00,,,,"Hkkjr ea jktuSfrd ljpuk,a",,,
81. MLI-006,Content Development,,1,400.00,,,96. MHI-05,History of Indian Econom,8,2375.00 2500.00,
,,,,,,,,Hkkjrh; vFkO;oLFkk,,,
82. MLI-007,Programming,,1,525.00,,,,dk bfrgkl,,,
,,,,,,5,,,,,

Contd. from pre page,,,,,,,,,,,
Sl.,Course,Course Title,No. of,Pricing,,Sl.,Course,Course Title,No. of,Pricing,
No.,Code,,Blocks,in Rs.,,No.,Code,,Blocks,in Rs.,
,,,,English,Hindi,,,,,English,Hindi
